cell,umax,obstacles,sweep,sweep_var,tol,admm_max_iter,scp_iter,seed,cos_AD,rel_l2_AD,sign_AD,descent_AD,cos_FD,rel_l2_FD,sign_FD,descent_FD,gnorm,conv_error,num_iter,admm_iters_last,eq_viol,ineq_viol,n_active,n_active_box,n_active_obs,cos_AD_FD_tight,fwd_ms,bwd_ms
C2_tight_off,0.1,0,admm_iter,800,1e-10,800,15,0,0.9999999999999999,4.210915244830794e-08,1.0,1.0,0.9999999933020909,0.0006568534059678252,1.0,1.0,83.6581319879039,1.5280185038102356e-07,15,800.0,3.995430860343236e-06,4.754081016355993e-08,27.0,27.0,0.0,0.9999999933019592,nan,3908.008810132742
C2_tight_off,0.1,0,admm_iter,800,1e-10,800,15,1,1.0000000000000004,2.3151864163597857e-08,1.0,1.0,0.9999999995616171,0.0008827445368151718,0.8571428571428571,1.0,269.67654620986815,3.222327515928214e-09,15,800.0,4.3830538426303175e-06,1.9129142714291447e-13,22.0,22.0,0.0,0.9999999995616202,nan,3908.008810132742
C2_tight_off,0.1,0,admm_iter,800,1e-10,800,15,2,1.0,1.6524774910224915e-08,1.0,1.0,0.9999999987825878,0.0011026065933558682,1.0,1.0,208.0584346883658,6.976079352204179e-09,15,800.0,1.9935643546711727e-06,1.1049467035784133e-09,27.0,27.0,0.0,0.9999999987825928,nan,3908.008810132742
C2_tight_off,0.1,0,admm_iter,800,1e-10,800,15,3,0.9999999999999998,1.9137080363917045e-08,1.0,1.0,0.9999988348745134,0.0015334345748727303,1.0,1.0,16.81838120989155,2.6296537818104593e-07,15,800.0,1.0971571187975784e-05,2.052840120808641e-07,28.0,28.0,0.0,0.9999988348705178,nan,3908.008810132742
C3_loose_on,10000.0,1,tol,0.1,0.1,800,15,0,0.8933753934826713,0.8173127959231268,1.0,1.0,0.853692234775378,0.9251798275177465,0.5714285714285714,1.0,6.835091535674048,0.09758739858543228,7,3.0,0.24604137976634155,0.6379480008104421,6.0,0.0,6.0,0.9966507603546507,nan,225.15963576734066
C3_loose_on,10000.0,1,tol,0.1,0.1,800,15,1,0.9980490735867446,0.7559798091753865,0.8571428571428571,1.0,0.9975666127456712,0.8828711162639543,0.7142857142857143,1.0,10.696500342797984,0.06939281869668833,4,2.0,0.25955224833792045,1.166283780986139,5.0,0.0,5.0,0.9999455493541995,nan,225.15963576734066
C3_loose_on,10000.0,1,tol,0.1,0.1,800,15,2,0.9987787885821994,0.4777662440987419,0.8571428571428571,1.0,0.9987715136365616,0.778022041521902,0.7142857142857143,1.0,22.551529756144404,0.08119162882769082,11,3.0,0.2657114195091763,0.0,5.0,0.0,5.0,0.9999973575100257,nan,225.15963576734066
C3_loose_on,10000.0,1,tol,0.1,0.1,800,15,3,0.9755617962292714,0.5639696952162138,0.8571428571428571,1.0,0.946006745528409,0.8067036401450896,0.7142857142857143,1.0,8.164281015916337,0.09564911286774025,9,4.0,0.22539210708945814,0.38962615687991664,7.0,0.0,7.0,0.9940724219679363,nan,225.15963576734066
C3_loose_on,10000.0,1,tol,0.01,0.01,800,15,0,0.9999186070088314,0.06898819977455016,1.0,1.0,0.9957289995970825,0.6089206707540116,0.5714285714285714,1.0,30.24570510783172,0.08306806434071007,15,25.0,0.026145976142544686,0.049110604449698184,6.0,0.0,6.0,0.9966507603546507,nan,764.2634850926697
C3_loose_on,10000.0,1,tol,0.01,0.01,800,15,1,0.9998358436852433,0.4800996228045267,1.0,1.0,0.9995948768619082,0.7504551628266104,0.8571428571428571,1.0,22.738506837098072,0.043212497375653476,15,7.0,0.05809183036136264,0.2036058199753346,5.0,0.0,5.0,0.9999455493541995,nan,764.2634850926697
C3_loose_on,10000.0,1,tol,0.01,0.01,800,15,2,0.9999774846458138,0.4447988641740033,0.8571428571428571,1.0,0.9999747036370784,0.7642366835724008,1.0,1.0,23.914996385201004,0.0469967176049946,15,7.0,0.04583782138483401,0.1451604686491407,5.0,0.0,5.0,0.9999973575100257,nan,764.2634850926697
