update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
36,0.662199211518744,0.06082853716122863,-0.7513666912055461,-0.6097542602347181,-0.5708013208351181,12.112863302230835,0,,,,,0.00047768592267612153,2,0,1.5625594570911616e-05,1.3552527156068805e-16
37,33.71917347261713,6.9186981506853975,-0.6761416071046922,5.692525586742381e-05,5.6642010584306846e-05,74.13914918899536,24,,,,,0.0019063898367854826,40,1,6.923066913164068e-05,0.014939157788440273
38,0.6096536358201504,0.03335472802530132,-0.7453389209101131,-0.5815641075674898,-0.5396726458520773,12.256675720214844,0,,,,,0.0004825096514485122,2,0,1.554456825614281e-05,1.3552527156068805e-16
39,33.07842598425987,3.8064356569408226,-0.7304172261214046,9.415682834768013e-05,9.354950020601382e-05,65.72558617591858,24,,,,,0.0009969176155994464,37,0,0.00012019146230913673,0.004800053930790858
40,0.45397973779263806,0.024287167256695767,-0.7489043047931849,-0.6101862672949456,-0.5706188256356775,12.265131950378418,0,33.05700108042543,0.00014747218714539212,9,1,0.0004183893753000739,2,0,1.4135375523194327e-05,1.3552527156068805e-16
41,32.11077390655363,2.210586446552513,-0.6633610651772939,0.0001629910936007395,0.00016218895485708984,74.46509861946106,24,,,,,0.002709051649653099,40,2,0.00017016233635093125,0.01847135081727702
42,0.4520142672497302,0.05028927966248845,-0.7400784149273261,-0.5732208335092814,-0.5302482095036536,11.589584827423096,0,,,,,0.00042427758006714046,2,0,1.4102664024684408e-05,1.3552527156068805e-16
43,32.94167618954887,2.4719552649792593,-0.726902807947696,0.00018238774713741357,0.00018149041396942067,68.1829833984375,24,,,,,0.002304253925859076,40,1,0.00018881984702706379,0.0067716045733235124
44,0.3950373850359452,0.038001905986279665,-0.7418825266666098,-0.5855384200136315,-0.5436015183232754,12.065305948257446,0,,,,,0.0004168950115955297,2,0,1.3698354112023914e-05,1.3552527156068805e-16
45,32.678969367866664,2.396605683028915,-0.6775718856158077,0.00012393833817769817,0.00012333198679947976,70.12270498275757,24,,,,,0.005822043793386911,40,1,0.0001314730618666846,0.011083845757413866
46,0.40284591262688624,0.04538362806520363,-0.7363444792016112,-0.5636632151282255,-0.519997580272058,12.604320287704468,0,,,,,0.00046527772867026307,2,0,1.3996961029327792e-05,1.3552527156068805e-16
47,31.84864767775605,9.673938013615672,-0.5812412130692961,4.421784385455485e-05,4.399975928748301e-05,94.79415154457092,24,,,,,0.005531944629041635,40,1,5.014217387655127e-05,0.17571562517603392
48,0.4326916169554303,0.04812407298001972,-0.7307025578637134,-0.5294158471073516,-0.48293213972726523,11.53457236289978,0,,,,,0.0007232575667886071,2,0,1.4342372080311527e-05,1.3552527156068805e-16
49,31.71412347817603,2.2121307641815204,-0.5794686567572744,8.320154394381163e-05,8.271503678813907e-05,87.23252749443054,24,,,,,0.0032676866984839015,40,1,0.00010960230539698087,0.08016449875502993
50,0.408191037438759,0.04394693737027435,-0.7279316910206775,-0.5331557419246449,-0.4877531880183028,12.199381351470947,0,32.81730149256845,0.00011023492931505618,9,1,0.0005751830033735028,2,0,1.3950701150067246e-05,1.3552527156068805e-16
51,32.16306359237352,1.7418651791549287,-0.6384021336626176,6.174323487395661e-05,6.144097626636924e-05,93.09506249427795,24,,,,,0.000984029252072402,37,0,0.0001297368556884812,0.043935754778245566
52,0.3872783665247102,0.04198431065600792,-0.7257152049504996,-0.539950679404299,-0.49562998716191187,12.158144235610962,0,,,,,0.0004938068736719259,2,0,1.3501255283876468e-05,1.3552527156068805e-16
53,33.42045832401428,1.9723725507244605,-0.7296396514707268,0.00015368993164677214,0.00015293802624627428,78.21814012527466,24,,,,,0.0009424532931063268,22,0,0.00015912440251842182,0.010992812521008435
54,0.36886004485521195,0.041689415997018905,-0.7256783927501558,-0.5581196015040555,-0.5157755636116947,12.332167625427246,0,,,,,0.0004901007516323053,2,0,1.3375841018681278e-05,1.3552527156068805e-16
55,31.217871924036082,1.4739968077848888,-0.5748690939423797,0.00011246105595408284,0.00011189367225705737,104.43086504936218,24,,,,,0.004968547800370732,40,1,0.00011681961380020753,0.02288069023593186
56,0.4149535787002478,0.045679614254729876,-0.7185497343027365,-0.5186040433406758,-0.47357314988236276,12.051437854766846,0,,,,,0.0007024293967942685,2,0,1.3608289834321496e-05,1.3552527156068805e-16
